Collar ID,Acq. Time [UTC],Acq. Time [LMT],SCTS [UTC],SCTS [LMT],Origin,Latitude[deg],Longitude[deg],Altitude[m],Dop,Fix Type,Mortality Status,Temp[°C],Main[V],Beacon [V],Animal
40876,2024-11-22 17:00:40,2024-11-22 10:00:40-07:00,2024-11-22 17:01:32,2024-11-22 10:01:32-07:00,Iridium,46.70981,-113.92410,1605,3,3D Valid,Nothing Detected,19,3.36,3.6,Animal with Collar 40876
40876,2024-11-22 16:00:10,2024-11-22 09:00:10-07:00,2024-11-22 17:01:32,2024-11-22 10:01:32-07:00,Iridium,46.70991,-113.92429,1591,3.2,3D Valid,Nothing Detected,19,3.36,3.6,Animal with Collar 40876
40876,2024-11-22 15:00:09,2024-11-22 08:00:09-07:00,2024-11-22 17:01:32,2024-11-22 10:01:32-07:00,Iridium,46.70982,-113.92421,1587,5.4,3D Valid,Nothing Detected,17,3.36,3.6,Animal with Collar 40876
40876,2024-11-22 14:00:40,2024-11-22 07:00:40-07:00,2024-11-22 17:01:32,2024-11-22 10:01:32-07:00,Iridium,46.70978,-113.92408,1594,2.6,3D Valid,Nothing Detected,17,3.36,3.6,Animal with Collar 40876
40876,2024-11-22 13:00:38,2024-11-22 06:00:38-07:00,2024-11-22 17:01:41,2024-11-22 10:01:41-07:00,Iridium,46.70975,-113.92406,1602,2.6,3D Valid,Nothing Detected,17,3.36,3.6,Animal with Collar 40876
40876,2024-11-22 12:00:15,2024-11-22 05:00:15-07:00,2024-11-22 17:01:41,2024-11-22 10:01:41-07:00,Iridium,46.70967,-113.92414,1646,2.8,3D Valid,Nothing Detected,16,3.36,3.6,Animal with Collar 40876
40876,2024-11-22 11:00:38,2024-11-22 04:00:38-07:00,2024-11-22 17:01:41,2024-11-22 10:01:41-07:00,Iridium,46.70976,-113.92411,1590,3.2,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40876
40876,2024-11-22 09:00:38,2024-11-22 02:00:38-07:00,2024-11-22 09:01:22,2024-11-22 02:01:22-07:00,Iridium,46.70993,-113.92426,1573,2.8,3D Valid,Nothing Detected,17,3.36,3.6,Animal with Collar 40876
40876,2024-11-22 08:00:11,2024-11-22 01:00:11-07:00,2024-11-22 09:01:22,2024-11-22 02:01:22-07:00,Iridium,46.70975,-113.92415,1594,5,3D Valid,Nothing Detected,18,3.36,3.6,Animal with Collar 40876
40876,2024-11-22 07:00:38,2024-11-22 00:00:38-07:00,2024-11-22 09:01:22,2024-11-22 02:01:22-07:00,Iridium,46.70982,-113.92429,1590,4,3D Valid,Nothing Detected,19,3.36,3.6,Animal with Collar 40876
40876,2024-11-22 06:00:11,2024-11-21 23:00:11-07:00,2024-11-22 09:01:22,2024-11-22 02:01:22-07:00,Iridium,46.70992,-113.92429,1579,5.2,3D Valid,Nothing Detected,22,3.36,3.6,Animal with Collar 40876
40876,2024-11-22 05:00:38,2024-11-21 22:00:38-07:00,2024-11-22 05:01:23,2024-11-21 22:01:23-07:00,Iridium,46.70979,-113.92396,1612,9.4,3D Valid,Nothing Detected,20,3.36,3.6,Animal with Collar 40876
40876,2024-11-22 04:00:38,2024-11-21 21:00:38-07:00,2024-11-22 05:01:23,2024-11-21 22:01:23-07:00,Iridium,46.70987,-113.92426,1588,2.6,3D Valid,Nothing Detected,17,3.36,3.6,Animal with Collar 40876
40876,2024-11-22 03:00:10,2024-11-21 20:00:10-07:00,2024-11-22 05:01:23,2024-11-21 22:01:23-07:00,Iridium,46.70986,-113.92436,1569,9,3D Valid,Nothing Detected,17,3.36,3.6,Animal with Collar 40876
40876,2024-11-22 02:02:58,2024-11-21 19:02:58-07:00,2024-11-22 05:01:23,2024-11-21 22:01:23-07:00,Iridium,46.70984,-113.92419,1581,10,3D Valid,Nothing Detected,19,3.36,3.6,Animal with Collar 40876
40876,2024-11-22 01:00:15,2024-11-21 18:00:15-07:00,2024-11-22 05:01:30,2024-11-21 22:01:30-07:00,Iridium,46.70983,-113.92396,1601,6.2,3D Valid,Nothing Detected,23,3.36,3.6,Animal with Collar 40876
40876,2024-11-22 00:00:10,2024-11-21 17:00:10-07:00,2024-11-22 05:01:30,2024-11-21 22:01:30-07:00,Iridium,46.70979,-113.92423,1606,4.2,3D Valid,Nothing Detected,19,3.36,3.6,Animal with Collar 40876
40876,2024-11-21 23:00:40,2024-11-21 16:00:40-07:00,2024-11-22 05:01:30,2024-11-21 22:01:30-07:00,Iridium,46.70972,-113.92420,1600,2.8,3D Valid,Nothing Detected,20,3.36,3.6,Animal with Collar 40876
40876,2024-11-21 22:00:10,2024-11-21 15:00:10-07:00,2024-11-22 05:01:30,2024-11-21 22:01:30-07:00,Iridium,46.70980,-113.92405,1611,4.4,3D Valid,Nothing Detected,16,3.36,3.6,Animal with Collar 40876
40876,2024-11-21 21:00:40,2024-11-21 14:00:40-07:00,2024-11-21 21:01:02,2024-11-21 14:01:02-07:00,Iridium,46.70988,-113.92429,1581,7,3D Valid,Nothing Detected,13,3.36,3.6,Animal with Collar 40876
40876,2024-11-21 20:00:40,2024-11-21 13:00:40-07:00,2024-11-21 21:01:02,2024-11-21 14:01:02-07:00,Iridium,46.70988,-113.92423,1594,2,3D Valid,Nothing Detected,11,3.36,3.68,Animal with Collar 40876
40876,2024-11-21 19:00:38,2024-11-21 12:00:38-07:00,2024-11-21 21:01:02,2024-11-21 14:01:02-07:00,Iridium,46.70977,-113.92411,1598,4,3D Valid,Nothing Detected,7,3.36,3.68,Animal with Collar 40876
40876,2024-11-21 18:00:10,2024-11-21 11:00:10-07:00,2024-11-21 21:01:02,2024-11-21 14:01:02-07:00,Iridium,46.70997,-113.92442,1557,4.2,3D Valid,Nothing Detected,7,3.36,3.68,Animal with Collar 40876
40876,2024-11-21 17:00:40,2024-11-21 10:00:40-07:00,2024-11-21 17:01:03,2024-11-21 10:01:03-07:00,Iridium,46.70987,-113.92416,1596,3,3D Valid,Nothing Detected,7,3.36,3.68,Animal with Collar 40876
40876,2024-11-21 16:00:17,2024-11-21 09:00:17-07:00,2024-11-21 17:01:03,2024-11-21 10:01:03-07:00,Iridium,46.70985,-113.92427,1583,3.2,3D Valid,Nothing Detected,9,3.36,3.68,Animal with Collar 40876
40876,2024-11-21 15:00:38,2024-11-21 08:00:38-07:00,2024-11-21 17:01:03,2024-11-21 10:01:03-07:00,Iridium,46.70983,-113.92423,1583,5.4,3D Valid,Nothing Detected,10,3.36,3.68,Animal with Collar 40876
40876,2024-11-21 14:00:40,2024-11-21 07:00:40-07:00,2024-11-21 17:01:03,2024-11-21 10:01:03-07:00,Iridium,46.70984,-113.92425,1587,2.8,3D Valid,Nothing Detected,9,3.36,3.68,Animal with Collar 40876
40876,2024-11-21 13:00:11,2024-11-21 06:00:11-07:00,2024-11-21 17:01:14,2024-11-21 10:01:14-07:00,Iridium,46.70967,-113.92415,1591,3.6,3D Valid,Nothing Detected,9,3.36,3.68,Animal with Collar 40876
40876,2024-11-21 12:00:38,2024-11-21 05:00:38-07:00,2024-11-21 17:01:14,2024-11-21 10:01:14-07:00,Iridium,46.70982,-113.92423,1609,2.6,3D Valid,Nothing Detected,8,3.36,3.68,Animal with Collar 40876
40876,2024-11-21 11:00:56,2024-11-21 04:00:56-07:00,2024-11-21 17:01:14,2024-11-21 10:01:14-07:00,Iridium,46.70985,-113.92419,1583,3.4,3D Valid,Nothing Detected,7,3.36,3.68,Animal with Collar 40876
40876,2024-11-21 09:00:38,2024-11-21 02:00:38-07:00,2024-11-21 17:01:21,2024-11-21 10:01:21-07:00,Iridium,46.70987,-113.92424,1584,2,3D Valid,Nothing Detected,8,3.36,3.68,Animal with Collar 40876
40876,2024-11-21 08:00:10,2024-11-21 01:00:10-07:00,2024-11-21 17:01:21,2024-11-21 10:01:21-07:00,Iridium,46.70985,-113.92422,1581,4.4,3D Valid,Nothing Detected,8,3.36,3.68,Animal with Collar 40876
40876,2024-11-21 07:00:40,2024-11-21 00:00:40-07:00,2024-11-21 17:01:21,2024-11-21 10:01:21-07:00,Iridium,46.70986,-113.92420,1588,4.2,3D Valid,Nothing Detected,8,3.36,3.68,Animal with Collar 40876
40876,2024-11-21 06:00:13,2024-11-20 23:00:13-07:00,2024-11-21 17:01:21,2024-11-21 10:01:21-07:00,Iridium,46.70987,-113.92422,1606,5.4,3D Valid,Nothing Detected,7,3.36,3.68,Animal with Collar 40876
40876,2024-11-21 05:00:40,2024-11-20 22:00:40-07:00,2024-11-21 05:01:04,2024-11-20 22:01:04-07:00,Iridium,46.70983,-113.92409,1597,2.6,3D Valid,Nothing Detected,7,3.36,3.68,Animal with Collar 40876
40876,2024-11-21 04:00:11,2024-11-20 21:00:11-07:00,2024-11-21 05:01:04,2024-11-20 22:01:04-07:00,Iridium,46.70984,-113.92425,1587,3.2,3D Valid,Nothing Detected,9,3.36,3.68,Animal with Collar 40876
40876,2024-11-21 03:00:38,2024-11-20 20:00:38-07:00,2024-11-21 05:01:04,2024-11-20 22:01:04-07:00,Iridium,46.70986,-113.92423,1588,3,3D Valid,Nothing Detected,10,3.36,3.6,Animal with Collar 40876
40876,2024-11-21 02:00:13,2024-11-20 19:00:13-07:00,2024-11-21 05:01:04,2024-11-20 22:01:04-07:00,Iridium,46.70992,-113.92424,1577,4.8,3D Valid,Nothing Detected,15,3.36,3.6,Animal with Collar 40876
40876,2024-11-21 01:00:10,2024-11-20 18:00:10-07:00,2024-11-21 05:01:13,2024-11-20 22:01:13-07:00,Iridium,46.70950,-113.92504,1621,2,3D Valid,Nothing Detected,14,3.36,3.6,Animal with Collar 40876
40876,2024-11-21 00:00:40,2024-11-20 17:00:40-07:00,2024-11-21 05:01:13,2024-11-20 22:01:13-07:00,Iridium,46.70980,-113.92437,1617,3.6,3D Valid,Nothing Detected,15,3.36,3.6,Animal with Collar 40876
40876,2024-11-20 23:00:17,2024-11-20 16:00:17-07:00,2024-11-21 05:01:13,2024-11-20 22:01:13-07:00,Iridium,46.70990,-113.92413,1595,2.6,3D Valid,Nothing Detected,15,3.36,3.6,Animal with Collar 40876
40876,2024-11-20 22:00:40,2024-11-20 15:00:40-07:00,2024-11-21 05:01:13,2024-11-20 22:01:13-07:00,Iridium,46.70985,-113.92419,1595,2.8,3D Valid,Nothing Detected,17,3.36,3.6,Animal with Collar 40876
40876,2024-11-20 21:01:38,2024-11-20 14:01:38-07:00,2024-11-20 21:02:52,2024-11-20 14:02:52-07:00,Iridium,46.70988,-113.92436,1569,9.6,3D Valid,Nothing Detected,15,3.28,3.6,Animal with Collar 40876
40876,2024-11-20 20:00:10,2024-11-20 13:00:10-07:00,2024-11-20 21:02:52,2024-11-20 14:02:52-07:00,Iridium,46.70986,-113.92418,1593,2.8,3D Valid,Nothing Detected,14,3.36,3.6,Animal with Collar 40876
40876,2024-11-20 19:00:38,2024-11-20 12:00:38-07:00,2024-11-20 21:02:52,2024-11-20 14:02:52-07:00,Iridium,46.70982,-113.92420,1589,3.2,3D Valid,Nothing Detected,13,3.36,3.6,Animal with Collar 40876
40876,2024-11-20 18:00:09,2024-11-20 11:00:09-07:00,2024-11-20 21:02:52,2024-11-20 14:02:52-07:00,Iridium,46.70985,-113.92417,1600,4.2,3D Valid,Nothing Detected,12,3.36,3.6,Animal with Collar 40876
40876,2024-11-20 17:00:38,2024-11-20 10:00:38-07:00,2024-11-20 17:01:12,2024-11-20 10:01:12-07:00,Iridium,46.70987,-113.92416,1590,2.8,3D Valid,Nothing Detected,11,3.36,3.6,Animal with Collar 40876
40876,2024-11-20 16:00:10,2024-11-20 09:00:10-07:00,2024-11-20 17:01:12,2024-11-20 10:01:12-07:00,Iridium,46.70983,-113.92416,1572,3.2,3D Valid,Nothing Detected,12,3.36,3.68,Animal with Collar 40876
40876,2024-11-20 15:00:38,2024-11-20 08:00:38-07:00,2024-11-20 17:01:12,2024-11-20 10:01:12-07:00,Iridium,46.70986,-113.92422,1582,5.6,3D Valid,Nothing Detected,15,3.36,3.6,Animal with Collar 40876
40876,2024-11-20 14:00:39,2024-11-20 07:00:39-07:00,2024-11-20 17:01:12,2024-11-20 10:01:12-07:00,Iridium,46.70982,-113.92421,1587,2.8,3D Valid,Nothing Detected,14,3.36,3.6,Animal with Collar 40876
40876,2024-11-20 13:00:13,2024-11-20 06:00:13-07:00,2024-11-20 13:00:37,2024-11-20 06:00:37-07:00,Iridium,46.70983,-113.92411,1592,3,3D Valid,Nothing Detected,11,3.36,3.68,Animal with Collar 40876
40876,2024-11-20 12:00:39,2024-11-20 05:00:39-07:00,2024-11-20 13:00:37,2024-11-20 06:00:37-07:00,Iridium,46.70988,-113.92421,1580,3.8,3D Valid,Nothing Detected,7,3.36,3.68,Animal with Collar 40876
40876,2024-11-20 11:00:19,2024-11-20 04:00:19-07:00,2024-11-20 13:00:37,2024-11-20 06:00:37-07:00,Iridium,46.70987,-113.92428,1576,2.8,3D Valid,Nothing Detected,8,3.36,3.68,Animal with Collar 40876
40876,2024-11-20 10:00:14,2024-11-20 03:00:14-07:00,2024-11-20 13:00:37,2024-11-20 06:00:37-07:00,Iridium,46.70971,-113.92417,1620,3.4,3D Valid,Nothing Detected,8,3.36,3.68,Animal with Collar 40876
40876,2024-11-20 09:01:02,2024-11-20 02:01:02-07:00,2024-11-20 09:01:49,2024-11-20 02:01:49-07:00,Iridium,46.70990,-113.92423,1578,2.4,3D Valid,Nothing Detected,8,3.36,3.6,Animal with Collar 40876
40876,2024-11-20 08:00:13,2024-11-20 01:00:13-07:00,2024-11-20 09:01:49,2024-11-20 02:01:49-07:00,Iridium,46.70992,-113.92432,1579,4.6,3D Valid,Nothing Detected,8,3.36,3.68,Animal with Collar 40876
40876,2024-11-20 07:00:09,2024-11-20 00:00:09-07:00,2024-11-20 09:01:49,2024-11-20 02:01:49-07:00,Iridium,46.70985,-113.92424,1575,5.2,3D Valid,Nothing Detected,9,3.36,3.68,Animal with Collar 40876
40876,2024-11-20 06:00:37,2024-11-19 23:00:37-07:00,2024-11-20 09:01:49,2024-11-20 02:01:49-07:00,Iridium,46.70985,-113.92422,1581,2.8,3D Valid,Nothing Detected,9,3.36,3.68,Animal with Collar 40876
40876,2024-11-20 05:00:11,2024-11-19 22:00:11-07:00,2024-11-20 09:01:59,2024-11-20 02:01:59-07:00,Iridium,46.70985,-113.92413,1589,4.8,3D Valid,Nothing Detected,10,3.36,3.68,Animal with Collar 40876
40876,2024-11-20 04:00:09,2024-11-19 21:00:09-07:00,2024-11-20 09:01:59,2024-11-20 02:01:59-07:00,Iridium,46.70983,-113.92426,1597,3,3D Valid,Nothing Detected,7,3.36,3.68,Animal with Collar 40876
40876,2024-11-20 03:00:38,2024-11-19 20:00:38-07:00,2024-11-20 09:01:59,2024-11-20 02:01:59-07:00,Iridium,46.70986,-113.92426,1577,3,3D Valid,Nothing Detected,6,3.36,3.6,Animal with Collar 40876
40876,2024-11-20 02:00:13,2024-11-19 19:00:13-07:00,2024-11-20 09:01:59,2024-11-20 02:01:59-07:00,Iridium,46.70950,-113.92387,1634,3,3D Valid,Nothing Detected,9,3.36,3.6,Animal with Collar 40876
40876,2024-11-20 01:16:36,2024-11-19 18:16:36-07:00,2024-11-20 01:17:02,2024-11-19 18:17:02-07:00,Iridium,46.70985,-113.92421,1578,2.8,3D Valid,Nothing Detected,13,3.36,3.6,Animal with Collar 40876
40876,2024-11-19 01:15:39,2024-11-18 18:15:39-07:00,2024-11-19 01:15:59,2024-11-18 18:15:59-07:00,Iridium,46.70986,-113.92422,1582,2.4,3D Valid,Nothing Detected,8,3.36,3.68,Animal with Collar 40876
40876,2024-11-18 01:00:38,2024-11-17 18:00:38-07:00,2024-11-18 01:01:18,2024-11-17 18:01:18-07:00,Iridium,46.70986,-113.92416,1588,2.4,3D Valid,Nothing Detected,8,3.36,3.6,Animal with Collar 40876
40876,2024-11-18 00:00:19,2024-11-17 17:00:19-07:00,2024-11-18 01:01:18,2024-11-17 18:01:18-07:00,Iridium,46.70958,-113.92403,1620,3,3D Valid,Nothing Detected,12,3.36,3.6,Animal with Collar 40876
40876,2024-11-17 23:00:40,2024-11-17 16:00:40-07:00,2024-11-18 01:01:18,2024-11-17 18:01:18-07:00,Iridium,46.70979,-113.92421,1598,2.2,3D Valid,Nothing Detected,14,3.36,3.6,Animal with Collar 40876
40876,2024-11-17 22:00:38,2024-11-17 15:00:38-07:00,2024-11-18 01:01:18,2024-11-17 18:01:18-07:00,Iridium,46.70984,-113.92425,1587,4.8,3D Valid,Nothing Detected,14,3.36,3.6,Animal with Collar 40876
40876,2024-11-17 21:01:26,2024-11-17 14:01:26-07:00,2024-11-17 21:02:19,2024-11-17 14:02:19-07:00,Iridium,46.70983,-113.92433,1572,8.2,3D Valid,Nothing Detected,14,3.36,3.6,Animal with Collar 40876
40876,2024-11-17 20:00:11,2024-11-17 13:00:11-07:00,2024-11-17 21:02:19,2024-11-17 14:02:19-07:00,Iridium,46.70907,-113.92274,1646,5.2,3D Valid,Nothing Detected,15,3.36,3.6,Animal with Collar 40876
40876,2024-11-17 19:00:38,2024-11-17 12:00:38-07:00,2024-11-17 21:02:19,2024-11-17 14:02:19-07:00,Iridium,46.70983,-113.92411,1634,5.6,3D Valid,Nothing Detected,16,3.36,3.6,Animal with Collar 40876
40876,2024-11-17 18:00:39,2024-11-17 11:00:39-07:00,2024-11-17 21:02:19,2024-11-17 14:02:19-07:00,Iridium,46.70988,-113.92419,1592,4.2,3D Valid,Nothing Detected,17,3.36,3.6,Animal with Collar 40876
40876,2024-11-17 17:00:11,2024-11-17 10:00:11-07:00,2024-11-17 21:02:29,2024-11-17 14:02:29-07:00,Iridium,46.70986,-113.92413,1596,4.4,3D Valid,Nothing Detected,11,3.36,3.6,Animal with Collar 40876
40876,2024-11-17 16:00:08,2024-11-17 09:00:08-07:00,2024-11-17 21:02:29,2024-11-17 14:02:29-07:00,Iridium,46.70981,-113.92418,1571,3,3D Valid,Nothing Detected,9,3.36,3.6,Animal with Collar 40876
40876,2024-11-17 15:00:38,2024-11-17 08:00:38-07:00,2024-11-17 21:02:29,2024-11-17 14:02:29-07:00,Iridium,46.70985,-113.92423,1584,4.2,3D Valid,Nothing Detected,7,3.36,3.6,Animal with Collar 40876
40876,2024-11-17 14:00:38,2024-11-17 07:00:38-07:00,2024-11-17 21:02:29,2024-11-17 14:02:29-07:00,Iridium,46.70983,-113.92417,1583,2,3D Valid,Nothing Detected,5,3.36,3.68,Animal with Collar 40876
40876,2024-11-17 13:00:09,2024-11-17 06:00:09-07:00,2024-11-17 13:00:46,2024-11-17 06:00:46-07:00,Iridium,46.70982,-113.92411,1598,3.2,3D Valid,Nothing Detected,6,3.36,3.68,Animal with Collar 40876
40876,2024-11-17 12:00:40,2024-11-17 05:00:40-07:00,2024-11-17 13:00:46,2024-11-17 06:00:46-07:00,Iridium,46.70986,-113.92424,1583,2.4,3D Valid,Nothing Detected,5,3.36,3.6,Animal with Collar 40876
40876,2024-11-17 11:00:38,2024-11-17 04:00:38-07:00,2024-11-17 13:00:46,2024-11-17 06:00:46-07:00,Iridium,46.70988,-113.92426,1577,6,3D Valid,Nothing Detected,4,3.36,3.68,Animal with Collar 40876
40876,2024-11-17 10:00:11,2024-11-17 03:00:11-07:00,2024-11-17 13:00:46,2024-11-17 06:00:46-07:00,Iridium,46.70993,-113.92424,1556,3.8,3D Valid,Nothing Detected,5,3.36,3.68,Animal with Collar 40876
40876,2024-11-17 09:00:39,2024-11-17 02:00:39-07:00,2024-11-17 09:01:00,2024-11-17 02:01:00-07:00,Iridium,46.70985,-113.92427,1589,3.2,3D Valid,Nothing Detected,6,3.36,3.68,Animal with Collar 40876
40876,2024-11-17 08:00:10,2024-11-17 01:00:10-07:00,2024-11-17 09:01:00,2024-11-17 02:01:00-07:00,Iridium,46.70983,-113.92414,1585,4.2,3D Valid,Nothing Detected,6,3.36,3.6,Animal with Collar 40876
40876,2024-11-17 07:00:09,2024-11-17 00:00:09-07:00,2024-11-17 09:01:00,2024-11-17 02:01:00-07:00,Iridium,46.70987,-113.92422,1576,2.8,3D Valid,Nothing Detected,7,3.36,3.6,Animal with Collar 40876
40876,2024-11-17 06:00:37,2024-11-16 23:00:37-07:00,2024-11-17 09:01:00,2024-11-17 02:01:00-07:00,Iridium,46.70981,-113.92421,1585,2.6,3D Valid,Nothing Detected,9,3.36,3.6,Animal with Collar 40876
40876,2024-11-17 05:00:10,2024-11-16 22:00:10-07:00,2024-11-17 05:01:57,2024-11-16 22:01:57-07:00,Iridium,46.70984,-113.92424,1581,3.4,3D Valid,Nothing Detected,6,3.36,3.6,Animal with Collar 40876
40876,2024-11-17 04:00:11,2024-11-16 21:00:11-07:00,2024-11-17 05:01:57,2024-11-16 22:01:57-07:00,Iridium,46.70977,-113.92423,1606,2.6,3D Valid,Nothing Detected,5,3.36,3.68,Animal with Collar 40876
40876,2024-11-17 03:00:36,2024-11-16 20:00:36-07:00,2024-11-17 05:01:57,2024-11-16 22:01:57-07:00,Iridium,46.70994,-113.92428,1563,2.8,3D Valid,Nothing Detected,5,3.36,3.6,Animal with Collar 40876
40876,2024-11-17 02:00:10,2024-11-16 19:00:10-07:00,2024-11-17 05:01:57,2024-11-16 22:01:57-07:00,Iridium,46.70979,-113.92423,1584,4.6,3D Valid,Nothing Detected,8,3.36,3.6,Animal with Collar 40876
40876,2024-11-17 01:00:36,2024-11-16 18:00:36-07:00,2024-11-17 09:01:09,2024-11-17 02:01:09-07:00,Iridium,46.70814,-113.92396,1567,2,3D Valid,Nothing Detected,12,3.28,3.6,Animal with Collar 40876
40876,2024-11-17 00:00:45,2024-11-16 17:00:45-07:00,2024-11-17 09:01:09,2024-11-17 02:01:09-07:00,Iridium,46.70470,-113.92482,1485,4.4,3D Valid,Nothing Detected,12,3.28,3.6,Animal with Collar 40876
40876,2024-11-16 23:01:06,2024-11-16 16:01:06-07:00,2024-11-17 09:01:09,2024-11-17 02:01:09-07:00,Iridium,46.70397,-113.91840,1416,1.8,3D Valid,Nothing Detected,16,3.28,3.6,Animal with Collar 40876
40876,2024-11-16 22:00:11,2024-11-16 15:00:11-07:00,2024-11-17 09:01:09,2024-11-17 02:01:09-07:00,Iridium,46.70398,-113.91840,1407,3.2,3D Valid,Nothing Detected,16,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 21:00:39,2024-11-16 14:00:39-07:00,2024-11-16 21:01:06,2024-11-16 14:01:06-07:00,Iridium,46.70391,-113.91815,1406,4.4,3D Valid,Nothing Detected,17,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 20:00:38,2024-11-16 13:00:38-07:00,2024-11-16 21:01:06,2024-11-16 14:01:06-07:00,Iridium,46.70616,-113.91601,1448,3.4,3D Valid,Nothing Detected,16,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 19:00:50,2024-11-16 12:00:50-07:00,2024-11-16 21:01:06,2024-11-16 14:01:06-07:00,Iridium,46.70996,-113.92416,1594,4.2,3D Valid,Nothing Detected,27,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 18:00:56,2024-11-16 11:00:56-07:00,2024-11-16 21:01:06,2024-11-16 14:01:06-07:00,Iridium,46.70993,-113.92400,1602,4.2,3D Valid,Nothing Detected,20,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 17:00:38,2024-11-16 10:00:38-07:00,2024-11-17 09:01:16,2024-11-17 02:01:16-07:00,Iridium,46.70992,-113.92398,1606,3,3D Valid,Nothing Detected,21,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 16:00:10,2024-11-16 09:00:10-07:00,2024-11-17 09:01:16,2024-11-17 02:01:16-07:00,Iridium,46.70995,-113.92415,1595,3.6,3D Valid,Nothing Detected,22,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 15:00:38,2024-11-16 08:00:38-07:00,2024-11-17 09:01:16,2024-11-17 02:01:16-07:00,Iridium,46.70994,-113.92412,1596,2.6,3D Valid,Nothing Detected,23,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 13:00:56,2024-11-16 06:00:56-07:00,2024-11-17 09:01:25,2024-11-17 02:01:25-07:00,Iridium,46.70998,-113.92416,1584,4.2,3D Valid,Nothing Detected,30,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 12:00:38,2024-11-16 05:00:38-07:00,2024-11-17 09:01:25,2024-11-17 02:01:25-07:00,Iridium,46.70998,-113.92411,1581,2.8,3D Valid,Nothing Detected,26,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 11:00:38,2024-11-16 04:00:38-07:00,2024-11-17 09:01:25,2024-11-17 02:01:25-07:00,Iridium,46.70995,-113.92413,1585,2.2,3D Valid,Nothing Detected,16,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 10:00:10,2024-11-16 03:00:10-07:00,2024-11-17 09:01:25,2024-11-17 02:01:25-07:00,Iridium,46.70995,-113.92411,1584,7.4,3D Valid,Nothing Detected,14,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 09:00:39,2024-11-16 02:00:39-07:00,2024-11-16 09:01:01,2024-11-16 02:01:01-07:00,Iridium,46.70997,-113.92416,1579,3.4,3D Valid,Nothing Detected,16,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 08:00:27,2024-11-16 01:00:27-07:00,2024-11-16 09:01:01,2024-11-16 02:01:01-07:00,Iridium,46.71002,-113.92424,1574,4.2,3D Valid,Nothing Detected,19,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 07:00:09,2024-11-16 00:00:09-07:00,2024-11-16 09:01:01,2024-11-16 02:01:01-07:00,Iridium,46.70994,-113.92414,1591,9,3D Valid,Nothing Detected,18,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 06:00:39,2024-11-15 23:00:39-07:00,2024-11-16 09:01:01,2024-11-16 02:01:01-07:00,Iridium,46.71001,-113.92410,1578,4.8,3D Valid,Nothing Detected,15,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 05:00:09,2024-11-15 22:00:09-07:00,2024-11-16 05:00:29,2024-11-15 22:00:29-07:00,Iridium,46.70993,-113.92403,1600,2.6,3D Valid,Nothing Detected,11,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 04:00:09,2024-11-15 21:00:09-07:00,2024-11-16 05:00:29,2024-11-15 22:00:29-07:00,Iridium,46.70991,-113.92411,1586,2.6,3D Valid,Nothing Detected,13,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 03:00:38,2024-11-15 20:00:38-07:00,2024-11-16 05:00:29,2024-11-15 22:00:29-07:00,Iridium,46.71002,-113.92406,1577,2.8,3D Valid,Nothing Detected,14,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 02:00:09,2024-11-15 19:00:09-07:00,2024-11-16 05:00:29,2024-11-15 22:00:29-07:00,Iridium,46.70992,-113.92396,1595,2,3D Valid,Nothing Detected,12,3.36,3.6,Animal with Collar 40876
40876,2024-11-16 01:35:39,2024-11-15 18:35:39-07:00,2024-11-16 01:36:01,2024-11-15 18:36:01-07:00,Iridium,46.70992,-113.92412,1593,2.6,3D Valid,Nothing Detected,12,3.36,3.6,Animal with Collar 40876
40876,2024-11-15 01:00:09,2024-11-14 18:00:09-07:00,2024-11-16 01:36:01,2024-11-15 18:36:01-07:00,Iridium,46.70982,-113.92413,1586,5.2,3D Valid,Nothing Detected,9,3.36,3.6,Animal with Collar 40876
40876,2024-11-15 00:00:40,2024-11-14 17:00:40-07:00,2024-11-16 01:36:01,2024-11-15 18:36:01-07:00,Iridium,46.70986,-113.92411,1602,2.8,3D Valid,Nothing Detected,11,3.36,3.6,Animal with Collar 40876
40876,2024-11-14 23:00:38,2024-11-14 16:00:38-07:00,2024-11-16 01:36:01,2024-11-15 18:36:01-07:00,Iridium,46.70988,-113.92422,1600,3.2,3D Valid,Nothing Detected,12,3.36,3.6,Animal with Collar 40876
